species	359032at7742	413149at7742	409719at7742	406935at7742	404316at7742	353318at7742	361842at7742	409625at7742	403632at7742	332227at7742	228730at7742	33940at7742	378120at7742	42971at7742	193525at7742	97645at7742	164538at7742	320238at7742	342641at7742	percent_complete
Canis_lupus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0.8947368421052632
Amblyraja_radiata	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0.8421052631578947
Notamacropus_eugenii	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0.8947368421052632
Eptatretus_burgeri	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	0.7368421052631579
Takifugu_rubripes	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.0
Xenopus_tropicalis	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0.8421052631578947
Neoceratodus_forsteri	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0.9473684210526315
Gallus_gallus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0.8947368421052632
Latimeria_chalumnae	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0.8947368421052632
Homo_sapiens	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0.8421052631578947
Oreochromis_niloticus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.0
Mus_musculus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.0
Anolis_carolinensis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0.9473684210526315
Petromyzon_marinus	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	0.7894736842105263
Scyliorhinus_canicula	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0.8421052631578947
Taeniopygia_guttata	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0.8947368421052632
Dasypus_novemcinctus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0.9473684210526315
Danio_kyathit	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0.9473684210526315
Ornithorhynchus_anatinus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0.9473684210526315
Rana_temporaria	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0.8947368421052632
Callorhinchus_milii	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0.8421052631578947
Protopterus_annectens	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0.8947368421052632
Monodelphis_domestica	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.0
Meleagris_gallopavo	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0.8947368421052632
Loxodonta_africana	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0.8947368421052632
