species,web_local,mode
Protopterus_annectens,data/assemblies/GCF_019279795.1_PAN1.0_protein.faa,protein
Acanthisitta_chloris,web=GCA_000695815.1
Acanthochaenus_luetkenii,web=GCA_900312575.1
Acanthochromis_polyacanthus,web=GCA_002109545.1
Acanthopagrus_latus,web=GCA_904848185.1
Accipiter_gentilis,web=GCA_012487025.1
Acinonyx_jubatus,web=GCA_003709585.1
Acipenser_ruthenus,web=GCA_010645085.1
Acomys_russatus,web=GCA_903995435.1
Acridotheres_javanicus,web=GCA_002849675.1
Acrocephalus_arundinaceus,web=GCA_013398685.1
Actinemys_marmorata,web=GCA_009430475.1
Aegithalos_caudatus,web=GCA_013389925.1
Aegotheles_bennettii,web=GCA_013398125.1
Aeoliscus_strigatus,web=GCA_901007665.1
Aeorestes_cinereus,web=GCA_011751065.1
Aepyceros_melampus,web=GCA_006408695.1
Agapornis_roseicollis,web=GCA_002631895.1
Agelaius_tricolor,web=GCA_017165875.1
Ageneiosus_marmoratus,web=GCA_003347165.1
Ailuropoda_melanoleuca,web=GCA_002007445.2
Ailurus_fulgens_styani,web=GCA_002007465.1
Alauda_arvensis,web=GCA_902810485.1
Alaudala_cheleensis,web=GCA_013398995.1
Alca_torda,web=GCA_008658365.1
Alcelaphus_buselaphus,web=GCA_006408545.1
Alces_alces,web=GCA_007570765.1
Aleadryas_rufinucha,web=GCA_013397815.1
Alectura_lathami,web=GCA_013399715.1
Alligator_mississippiensis,web=GCA_000281125.4
Alopecoenas_beccarii,web=GCA_013399365.1
Alosa_alosa,web=GCA_017589495.1
Alouatta_palliata,web=GCA_004027835.1
Altolamprologus_compressiceps,web=GCA_015104655.1
Amazona_aestiva,web=GCA_017639355.1
Amblyraja_radiata,web=GCA_010909765.2
Ambystoma_mexicanum,web=GCA_002915635.3
Ameiurus_melas,web=GCA_012411365.1
Amia_calva,web=GCA_017591415.1
Ammotragus_lervia,web=GCA_002201775.1
Amphilophus_citrinellus,web=GCA_013435755.1
Amphiprion_percula,web=GCA_003047355.2
Anabarilius_grahami,web=GCA_003731715.1
Anabas_testudineus,web=GCA_900324465.3
Anableps_anableps,web=GCA_014839685.1
Anarrhichthys_ocellatus,web=GCA_004355925.1
Anas_platyrhynchos,web=GCA_015476345.1
Andinoacara_biseriatus,web=GCA_015108635.1
Anguilla_japonica,web=GCA_003597225.1
Anhinga_rufa,web=GCA_013400875.1
Anodorhynchus_hyacinthinus,web=GCA_009936445.1
Anolis_carolinensis,web=GCA_000090745.2
Anomalopteryx_didiformis,web=GCA_006937325.1
Anoplogaster_cornuta,web=GCA_900683385.1
Anoplopoma_fimbria,web=GCA_000499045.2
Anoura_caudifer,web=GCA_004027475.1
Anseranas_semipalmata,web=GCA_013399115.1
Anser_cygnoides,web=GCA_013030995.1
Antechinus_stuartii,web=GCA_016696395.1
Antennarius_maculatus,web=GCA_013358685.1
Anthochaera_phrygia,web=GCA_009430485.1
Anthoscopus_minutus,web=GCA_013399455.1
Antidorcas_marsupialis,web=GCA_006408585.1
Antigone_vipio,web=GCA_012488435.1
Antilocapra_americana,web=GCA_007570785.1
Antrostomus_carolinensis,web=GCA_000700745.1
Antrozous_pallidus,web=GCA_007922775.1
Aotus_nancymaae,web=GCA_000952055.2
Apaloderma_vittatum,web=GCA_000703405.1
Apalone_spinifera,web=GCA_000385615.1
Aphelocoma_coerulescens,web=GCA_013398375.1
Aphyosemion_australe,web=GCA_006937985.1
Apistogramma_diplotaenia,web=GCA_015052665.1
Aplochiton_taeniatus,web=GCA_017639675.1
Aplodontia_rufa,web=GCA_004027875.1
Apodemus_sylvaticus,web=GCA_001305905.1
Aptenodytes_patagonicus,web=GCA_010087175.1
Apteryx_rowi,web=GCA_003343035.1
Aquila_chrysaetos_chrysaetos,web=GCA_900496995.4
Ara_macao,web=GCA_000400695.1
Aramus_guarauna,web=GCA_013400195.1
Arapaima_gigas,web=GCA_900497675.1
Aratinga_solstitialis,web=GCA_902168055.1
Archocentrus_centrarchus,web=GCA_007364275.2
Arctocephalus_gazella,web=GCA_900642305.1
Arctogadus_glacialis,web=GCA_900303235.1
