species,web_local,mode
Protopterus_annectens,data/assemblies/GCF_019279795.1_PAN1.0_protein.faa,protein
Amblyraja_radiata,web=GCA_010909765.2
Anolis_carolinensis,web=GCA_000090745.2
Callorhinchus_milii,web=GCA_000165045.2
Canis_lupus,web=GCA_905319855.2
Danio_kyathit,web=GCA_903798195.1
Dasypus_novemcinctus,web=GCA_000208655.2
Eptatretus_burgeri,web=GCA_900186335.2
Gallus_gallus,web=GCA_016699485.1
Homo_sapiens,web=GCA_000001405.28
Latimeria_chalumnae,web=GCA_000225785.1
Loxodonta_africana,web=GCA_000001905.1
Meleagris_gallopavo,web=GCA_000146605.4
Monodelphis_domestica,web=GCA_000002295.1
Mus_musculus,web=GCA_000001635.9
Neoceratodus_forsteri,web=GCA_016271365.1
Notamacropus_eugenii,web=GCA_000004035.1
Oreochromis_niloticus,web=GCA_001858045.3
Ornithorhynchus_anatinus,web=GCA_004115215.4
Petromyzon_marinus,web=GCA_010993605.1
Rana_temporaria,web=GCA_905171775.1
Scyliorhinus_canicula,web=GCA_902713615.2
Taeniopygia_guttata,web=GCA_008822105.2
Takifugu_rubripes,web=GCA_901000725.3
Xenopus_tropicalis,web=GCA_000004195.4
