# BUSCO version is: 5.2.1 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
173at7742	Complete	CM021453.1	6620382	6737686	-	3014.7	3417	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	JAAIYE010000873.1	1	137239	+	3645.6	2350	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	CM021458.1	6714384	6821575	-	5942.2	3916	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	CM021458.1	9589022	9610985	+	5101.1	3888	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Fragmented	JAAIYE010000741.1	1	90369	-	1281.6	1386	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Missing
1566at7742	Complete	CM021444.1	2644984	2721176	-	3965.6	3180	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Missing
1662at7742	Complete	CM021454.1	14612519	14661075	+	3018.6	2899	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	CM021466.1	3731397	3790717	-	4293.9	3036	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	CM021441.1	21518750	21606533	+	1284.0	1427	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	CM021446.1	10791831	10862433	+	3848.6	2477	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Fragmented	CM021446.1	16411722	16446695	+	1879.0	1174	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	CM021488.1	9350247	9426588	+	1377.6	1964	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Missing
3190at7742	Missing
3764at7742	Complete	CM021508.1	807093	868347	+	1466.6	2315	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Complete	JAAIYE010001109.1	1	113217	+	2728.7	1532	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Missing
4443at7742	Complete	JAAIYE010000805.1	51005	93236	-	2879.6	2009	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	CM021445.1	17629993	17657042	+	4922.7	2140	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
4900at7742	Complete	CM021441.1	28429122	28493534	+	802.7	1030	https://www.orthodb.org/v10?query=4900at7742	spatacsin
5018at7742	Complete	CM021453.1	12131474	12175308	+	1982.1	1873	https://www.orthodb.org/v10?query=5018at7742	ectopic P granules protein 5 homolog
5095at7742	Complete	CM021441.1	20931935	20985520	-	2175.7	1906	https://www.orthodb.org/v10?query=5095at7742	ubiquitin carboxyl-terminal hydrolase 24
5422at7742	Complete	CM021457.1	12599744	12684610	-	3420.7	2114	https://www.orthodb.org/v10?query=5422at7742	HECT domain E3 ubiquitin protein ligase 1
5465at7742	Complete	CM021472.1	8371221	8426547	-	1509.5	1342	https://www.orthodb.org/v10?query=5465at7742	sortilin-related receptor
5520at7742	Missing
5604at7742	Missing
5938at7742	Complete	CM021447.1	202700	287411	+	2060.2	1733	https://www.orthodb.org/v10?query=5938at7742	small subunit processome component 20 homolog
5981at7742	Complete	CM021450.1	5329238	5392206	+	3767.0	2016	https://www.orthodb.org/v10?query=5981at7742	dnaJ homolog subfamily C member 13 isoform X1
