# BUSCO version is: 5.2.1 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
173at7742	Complete	KI635881.1	884751	1052082	+	6499.8	4826	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	KI635912.1	3469033	3555724	-	7645.2	4098	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	KI635870.1	7636654	7751112	-	6041.8	3207	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	KI635935.1	2500266	2564963	+	6893.5	3922	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	KI635912.1	230995	312010	-	5266.1	3075	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Complete	KI635945.1	2940848	3021935	-	7909.0	3962	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Complete	KI635914.1	4072167	4265885	-	3918.8	2902	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Complete	KI635884.1	858283	993102	-	6519.9	3219	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Complete	KI635871.1	3125235	3323809	+	4997.0	2920	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	KI635884.1	4918943	4968177	-	4920.9	2800	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	KI635861.1	5666232	5756907	-	3966.7	2483	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	KI635877.1	3270667	3363062	+	5537.2	2668	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Complete	KI635885.1	635206	737249	-	4007.3	2556	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	KI636091.1	160217	213772	-	1929.0	2065	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Complete	KI635992.1	816065	926691	+	4505.2	2516	https://www.orthodb.org/v10?query=3022at7742	huntingtin
