# BUSCO version is: 5.2.1 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
173at7742	Complete	CM004443.2	178720989	178898007	-	6800.2	5126	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	CM004449.2	130159069	130251321	+	8026.9	4328	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	CM004444.2	126072289	126211062	+	7819.8	3970	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	CM004444.2	156971343	156999718	+	7161.3	3921	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	CM004449.2	95802877	95955207	-	6440.1	3670	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Complete	CM004443.2	163698492	163792061	-	7434.9	3768	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Complete	CM004448.2	28621412	28737820	+	4463.9	3104	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Complete	CM004451.2	26339524	26444162	+	6205.1	3149	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Complete	CM004445.2	77484638	77741867	+	5351.9	2930	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	CM004451.2	32502201	32587307	-	5367.0	3000	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	CM004446.2	88551374	88651533	+	4004.1	2614	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	CM004447.2	33609668	33709706	+	5362.6	2606	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Complete	CM004447.2	56096713	56229157	-	4656.6	2965	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	CM004445.2	50593774	50746246	+	2690.9	2507	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Complete	CM004443.2	22736134	22817763	+	4079.4	2509	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Complete	CM004444.2	101341259	101437046	+	3617.6	2270	https://www.orthodb.org/v10?query=3190at7742	zinc finger ZZ-type and EF-hand domain-containing protein 1
3764at7742	Complete	CM004446.2	110854533	110885824	-	3292.6	3267	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Complete	CM004449.2	64913816	65060588	-	4184.6	2157	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Complete	CM004447.2	119610602	119664018	-	3372.2	2094	https://www.orthodb.org/v10?query=4372at7742	serine/threonine-protein kinase ATR
4443at7742	Complete	CM004443.2	151521513	151559952	-	3921.5	2308	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	CM004444.2	45522303	45540612	+	4736.6	2097	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
4900at7742	Complete	CM004445.2	118178515	118201905	+	1878.0	1681	https://www.orthodb.org/v10?query=4900at7742	spatacsin
5018at7742	Complete	CM004443.2	206619375	206653486	-	2951.8	1962	https://www.orthodb.org/v10?query=5018at7742	ectopic P granules protein 5 homolog
5095at7742	Complete	CM004446.2	88176119	88273297	+	3782.4	2119	https://www.orthodb.org/v10?query=5095at7742	ubiquitin carboxyl-terminal hydrolase 24
5422at7742	Complete	CM004450.2	113243807	113279038	-	4134.9	2084	https://www.orthodb.org/v10?query=5422at7742	HECT domain E3 ubiquitin protein ligase 1
5465at7742	Complete	CM004449.2	78014339	78099979	+	2602.5	1622	https://www.orthodb.org/v10?query=5465at7742	sortilin-related receptor
5520at7742	Complete	CM004444.2	159834481	159891787	-	3491.9	2453	https://www.orthodb.org/v10?query=5520at7742	serine-protein kinase ATM
5604at7742	Complete	CM004445.2	75390300	75475241	+	2632.7	1885	https://www.orthodb.org/v10?query=5604at7742	leucine-rich repeat serine/threonine-protein kinase 2
5938at7742	Complete	CM004445.2	48737302	48808471	+	3469.1	2314	https://www.orthodb.org/v10?query=5938at7742	small subunit processome component 20 homolog
5981at7742	Complete	CM004448.2	52508850	52583627	+	3983.8	2026	https://www.orthodb.org/v10?query=5981at7742	dnaJ homolog subfamily C member 13 isoform X1
6108at7742	Complete	CM004443.2	144147000	144194671	-	3452.5	1822	https://www.orthodb.org/v10?query=6108at7742	DNA polymerase epsilon catalytic subunit A
6126at7742	Complete	CM004447.2	88507672	88543666	+	3433.6	1887	https://www.orthodb.org/v10?query=6126at7742	Dopey family member 1
6253at7742	Complete	CM004451.2	76172100	76193554	-	1607.2	1150	https://www.orthodb.org/v10?query=6253at7742	Replication timing regulatory factor 1
6305at7742	Complete	CM004448.2	131304358	131363955	-	4572.8	2297	https://www.orthodb.org/v10?query=6305at7742	Ubiquitin protein ligase E3 component n-recognin 5
6701at7742	Complete	CM004447.2	140206647	140630961	-	2864.0	1853	https://www.orthodb.org/v10?query=6701at7742	neuroblastoma-amplified sequence
7000at7742	Complete	CM004447.2	61315941	61940915	+	3147.2	1835	https://www.orthodb.org/v10?query=7000at7742	brefeldin A-inhibited guanine nucleotide-exchange protein 3
7262at7742	Complete	CM004445.2	18598565	18695198	+	2602.0	2206	https://www.orthodb.org/v10?query=7262at7742	von Willebrand factor
7732at7742	Complete	CM004450.2	119990209	120048819	+	2161.0	1833	https://www.orthodb.org/v10?query=7732at7742	Zinc finger FYVE-type containing 26
7768at7742	Complete	CM004443.2	152872379	152955751	-	2495.8	1520	https://www.orthodb.org/v10?query=7768at7742	calcineurin-binding protein cabin-1 isoform X1
8258at7742	Complete	CM004444.2	147143503	147169762	-	1313.8	1398	https://www.orthodb.org/v10?query=8258at7742	Extra spindle pole bodies like 1, separase
8409at7742	Complete	CM004444.2	36167244	36197092	-	2195.8	1495	https://www.orthodb.org/v10?query=8409at7742	WD repeat-containing protein 81
8503at7742	Complete	CM004444.2	13343511	13397062	-	2619.9	1804	https://www.orthodb.org/v10?query=8503at7742	Dopey family member 2
8757at7742	Complete	CM004451.2	49121528	49231911	-	2965.2	1600	https://www.orthodb.org/v10?query=8757at7742	Phosphoinositide kinase, FYVE-type zinc finger containing
8766at7742	Complete	CM004448.2	101345885	101426924	+	1711.2	1486	https://www.orthodb.org/v10?query=8766at7742	rotatin
8874at7742	Complete	CM004447.2	41408320	41458802	-	2431.5	1728	https://www.orthodb.org/v10?query=8874at7742	HEAT repeat-containing protein 1
8995at7742	Complete	CM004444.2	15329969	15369693	+	1920.3	1641	https://www.orthodb.org/v10?query=8995at7742	nucleolar pre-ribosomal-associated protein 1
9110at7742	Complete	CM004447.2	37644551	37697526	-	2885.6	1623	https://www.orthodb.org/v10?query=9110at7742	anaphase-promoting complex subunit 1
9484at7742	Complete	CM004450.2	78106861	78170490	-	3526.5	2207	https://www.orthodb.org/v10?query=9484at7742	spectrin beta chain, non-erythrocytic 4
9579at7742	Complete	CM004444.2	3189868	3200826	-	1828.3	1655	https://www.orthodb.org/v10?query=9579at7742	Upstream transcription factor family member 3
9683at7742	Complete	CM004444.2	34466355	34507268	+	3140.8	1836	https://www.orthodb.org/v10?query=9683at7742	protein KIAA0100 homolog isoform X1
9744at7742	Complete	CM004445.2	6616805	6658146	-	2854.2	1718	https://www.orthodb.org/v10?query=9744at7742	Nucleoporin 205
10003at7742	Complete	CM004451.2	29714370	29753976	-	3181.0	1757	https://www.orthodb.org/v10?query=10003at7742	integrator complex subunit 1
10136at7742	Complete	CM004448.2	99831153	100078610	-	1604.0	1344	https://www.orthodb.org/v10?query=10136at7742	zinc finger protein 407
10163at7742	Complete	CM004450.2	12267025	12292803	-	1369.5	1378	https://www.orthodb.org/v10?query=10163at7742	protein PRRC2B isoform X1
10485at7742	Complete	CM004446.2	107553612	107602048	-	1826.2	1698	https://www.orthodb.org/v10?query=10485at7742	protein PRRC2C isoform X1
10757at7742	Complete	CM004446.2	131938410	132021240	-	2151.0	1480	https://www.orthodb.org/v10?query=10757at7742	plexin-D1
10899at7742	Complete	CM004452.2	44739769	44768939	+	1988.9	1340	https://www.orthodb.org/v10?query=10899at7742	Integrin beta
11104at7742	Complete	CM004443.2	35243884	35333411	+	2946.5	1546	https://www.orthodb.org/v10?query=11104at7742	NACHT and WD repeat domain-containing protein 2
11195at7742	Complete	CM004444.2	132435327	132598118	-	2894.8	1595	https://www.orthodb.org/v10?query=11195at7742	von Willebrand factor A domain-containing protein 8
