# BUSCO version is: 5.2.1 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
173at7742	Complete	CM018259.2	17613107	17753209	-	4657.1	3540	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	CM018251.2	6373426	6433257	-	5770.9	3010	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Fragmented	CM018230.2	46061221	46106254	+	2695.1	1387	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	CM018230.2	67795961	67833366	+	7469.4	3922	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	CM018251.2	4373860	4484742	-	6248.8	3499	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Complete	CM018246.2	10090890	10152975	+	8285.2	3979	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Complete	CM018232.2	20458369	20633691	+	4282.6	4142	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Complete	CM018245.2	1735920	1807713	+	7089.2	3300	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Complete	CM018231.2	12247838	12414226	-	5738.1	2934	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	CM018245.2	197705	253686	-	4772.0	2634	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	CM018239.2	10944578	10997792	-	4226.7	2506	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	CM018233.2	86087046	86190783	-	5538.6	2601	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
