# BUSCO version is: 5.2.1 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
173at7742	Missing
476at7742	Complete	FYBX02007623.1	1176570	1419760	+	4328.6	3232	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	FYBX02009459.1	2234814	2447871	+	4637.0	3144	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	FYBX02010348.1	748056	800706	+	4620.2	3896	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Fragmented	FYBX02009832.1	509502	914364	+	1726.2	2345	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Missing
1566at7742	Missing
1653at7742	Complete	FYBX02010645.1	953196	1190313	-	5668.2	3230	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Complete	FYBX02009618.1	2023268	2451599	-	2460.0	2124	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	FYBX02010459.1	24020	284333	-	2490.0	2440	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	FYBX02010373.1	2874293	3161639	+	1936.3	2093	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	FYBX02008708.1	1355963	1748301	+	3828.0	2313	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Fragmented	FYBX02000162.1	213899	514603	-	1570.1	1465	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Missing
3022at7742	Complete	FYBX02010626.1	3126877	3827718	+	1985.9	1724	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Missing
3764at7742	Missing
4106at7742	Complete	FYBX02009540.1	3142931	3231255	+	3389.4	2142	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Missing
4443at7742	Fragmented	FYBX02009838.1	842403	882556	+	1900.5	1351	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	FYBX02009901.1	474362	566209	+	4585.2	2135	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
4900at7742	Fragmented	FYBX02010352.1	1282701	1303358	+	395.6	515	https://www.orthodb.org/v10?query=4900at7742	spatacsin
5018at7742	Complete	FYBX02009788.1	437072	581291	+	1258.8	1578	https://www.orthodb.org/v10?query=5018at7742	ectopic P granules protein 5 homolog
5095at7742	Complete	FYBX02010184.1	2784269	3248504	-	1913.5	1971	https://www.orthodb.org/v10?query=5095at7742	ubiquitin carboxyl-terminal hydrolase 24
5422at7742	Complete	FYBX02009871.1	3105960	3230349	-	3134.5	1960	https://www.orthodb.org/v10?query=5422at7742	HECT domain E3 ubiquitin protein ligase 1
5465at7742	Fragmented	FYBX02000147.1	2719731	2784954	+	761.5	835	https://www.orthodb.org/v10?query=5465at7742	sortilin-related receptor
5520at7742	Missing
5604at7742	Missing
5938at7742	Fragmented	FYBX02010754.1	228042	336216	+	1107.8	1364	https://www.orthodb.org/v10?query=5938at7742	small subunit processome component 20 homolog
