# BUSCO version is: 5.2.1 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
173at7742	Complete	HG994384.1	19189764	19411224	-	5724.4	3847	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	HG994387.1	80294352	80427455	+	8842.1	4322	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	HG994399.1	32579800	32778885	-	5478.6	2925	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	HG994404.1	36309847	36356147	-	7546.1	3922	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	HG994387.1	84796442	85028207	-	7243.0	3738	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Complete	HG994409.1	31681881	31824922	+	8144.7	3878	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Complete	HG994387.1	20478619	20753318	+	3229.7	2288	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Complete	HG994389.1	11050394	11168600	-	6478.5	3191	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Complete	HG994402.1	39607020	39858965	-	5133.0	2828	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	HG994389.1	26787075	26864940	+	5945.5	3073	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	HG994395.1	18366840	18417403	-	4197.2	2422	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	HG994393.1	63864252	64041994	-	5459.4	2584	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Complete	HG994386.1	4174481	4335434	+	4224.1	2730	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	HG994395.1	37716053	37932916	+	2639.3	1932	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Complete	HG994384.1	62652129	62789565	-	4118.5	2393	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Complete	HG994385.1	30802492	30901803	-	4035.1	2276	https://www.orthodb.org/v10?query=3190at7742	zinc finger ZZ-type and EF-hand domain-containing protein 1
3764at7742	Complete	HG994388.1	75460102	75528770	-	3790.1	2750	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Complete	HG994387.1	85718205	85834882	+	4605.1	2180	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Missing
4443at7742	Complete	HG994409.1	25424080	25496002	+	4172.3	2240	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	HG994394.1	15353773	15382677	+	5167.4	2171	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
