# BUSCO version is: 5.2.1 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
173at7742	Complete	CM014200.1	14112889	14549470	-	7401.3	5103	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	CM014204.1	59689987	59868565	+	7787.9	4149	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	CM014201.1	134049751	134360526	-	7932.3	3875	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	CM014219.1	1057200	1088355	-	7385.5	3910	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	CM014204.1	65683574	65986364	-	6315.8	3490	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Complete	CM014201.1	20391279	20589464	-	7600.2	3950	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Complete	CM014212.1	21678813	21854795	-	2610.0	2241	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Complete	CM014201.1	44103129	44250776	-	6494.2	3258	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Complete	CM014212.1	25032231	25320039	+	5085.2	2787	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	CM014201.1	47775722	47855316	+	5711.6	3032	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	CM014216.1	22080520	22109504	+	3084.8	2124	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	CM014208.1	53812123	53934807	+	5215.5	2600	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Complete	CM014218.1	1358367	1439569	-	4592.9	2898	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	CM014213.1	35662921	35833573	+	2794.1	2443	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Complete	CM014203.1	133391259	133589699	-	4051.9	2276	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Complete	CM014216.1	1179208	1228664	+	2666.3	1814	https://www.orthodb.org/v10?query=3190at7742	zinc finger ZZ-type and EF-hand domain-containing protein 1
3764at7742	Complete	CM014203.1	78668574	78704681	-	3292.2	2539	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Complete	CM014204.1	67128262	67260319	+	4142.5	2146	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Complete	CM014200.1	107190254	107297278	+	3754.4	2137	https://www.orthodb.org/v10?query=4372at7742	serine/threonine-protein kinase ATR
