# BUSCO version is: 5.2.1 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
173at7742	Complete	LR812523.1	55293332	55581444	+	6948.2	4940	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	LR812541.1	24651937	24738002	+	8784.2	4342	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	LR812527.1	22533999	22764112	-	7651.6	3751	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	LR812533.1	12363854	12408996	-	7262.4	3861	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	LR812541.1	25045452	25101367	-	5814.8	3305	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Missing
1566at7742	Complete	LR812542.1	36636067	36782816	-	4067.1	2818	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Complete	LR812530.1	20368010	20558654	+	7042.2	3298	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Missing
2066at7742	Complete	LR812521.1	40419022	40481879	-	5415.2	2949	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	LR812524.1	4380008	4597634	+	3607.8	2226	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	LR812519.1	66698014	66837784	-	5557.7	2608	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Complete	LR812531.1	58784655	58948485	-	4749.6	2863	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	LR812522.1	22282949	22323357	+	2043.1	1929	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Complete	LR812519.1	51218452	51336592	-	3093.3	1846	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Complete	LR812523.1	37608618	37720378	+	3886.5	2267	https://www.orthodb.org/v10?query=3190at7742	zinc finger ZZ-type and EF-hand domain-containing protein 1
3764at7742	Complete	LR812540.1	31565626	31603158	+	3337.5	2735	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Complete	LR812526.1	55774345	56083964	-	4490.4	2186	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Complete	LR812520.1	21629104	21737510	+	3875.5	2111	https://www.orthodb.org/v10?query=4372at7742	serine/threonine-protein kinase ATR
