# BUSCO version is: 5.2.1 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
173at7742	Complete	JH570378.1	5462378	5727725	+	4865.5	3647	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	JH567484.1	195117	341466	-	7746.4	4011	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Fragmented	JH581262.1	72808	203555	+	2293.2	1140	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	JH564960.1	655025	703238	-	5931.2	3217	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	JH581874.1	353991	649226	-	5958.9	3343	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Complete	JH562454.1	753397	918366	+	7011.5	3491	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Missing
1653at7742	Missing
1662at7742	Fragmented	JH578111.1	1840615	1930116	-	2122.3	1175	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	JH570465.1	100730	204343	+	4647.2	2480	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	JH583847.1	347417	405188	+	3469.6	2176	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	JH570369.1	4118913	4320504	-	5507.9	2587	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Fragmented	JH571788.1	1508627	1692154	-	2875.7	1920	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	JH569142.1	395721	609440	+	2041.5	1611	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Complete	JH580249.1	339664	490708	-	3591.4	2088	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Complete	JH575687.1	1979499	2127072	-	4094.7	2282	https://www.orthodb.org/v10?query=3190at7742	zinc finger ZZ-type and EF-hand domain-containing protein 1
3764at7742	Complete	JH575295.1	1705565	1776412	+	3513.2	2576	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Fragmented	JH581874.1	1602313	1678688	+	2310.0	1170	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Complete	JH568188.1	285775	422707	+	4022.9	2229	https://www.orthodb.org/v10?query=4372at7742	serine/threonine-protein kinase ATR
4443at7742	Complete	JH569223.1	841714	912246	+	4194.7	2311	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	JH582994.1	793887	826149	+	3039.1	1323	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
4900at7742	Complete	JH569607.1	2278871	2358165	-	2515.7	1757	https://www.orthodb.org/v10?query=4900at7742	spatacsin
5018at7742	Complete	JH584002.1	1670582	1778491	+	2694.3	1704	https://www.orthodb.org/v10?query=5018at7742	ectopic P granules protein 5 homolog
5095at7742	Fragmented	JH569942.1	353850	457757	-	2096.7	1384	https://www.orthodb.org/v10?query=5095at7742	ubiquitin carboxyl-terminal hydrolase 24
5422at7742	Missing
5465at7742	Complete	JH568225.1	1685476	1821955	+	3222.1	1819	https://www.orthodb.org/v10?query=5465at7742	sortilin-related receptor
5520at7742	Missing
5604at7742	Complete	JH570435.1	72681	268478	+	3142.6	1993	https://www.orthodb.org/v10?query=5604at7742	leucine-rich repeat serine/threonine-protein kinase 2
5938at7742	Complete	JH570141.1	429553	535508	-	3882.6	2331	https://www.orthodb.org/v10?query=5938at7742	small subunit processome component 20 homolog
5981at7742	Complete	JH567659.1	926445	1062131	+	4081.4	2010	https://www.orthodb.org/v10?query=5981at7742	dnaJ homolog subfamily C member 13 isoform X1
6108at7742	Complete	JH572280.1	120805	203640	+	3624.2	1834	https://www.orthodb.org/v10?query=6108at7742	DNA polymerase epsilon catalytic subunit A
6126at7742	Complete	JH568768.1	1183474	1297974	+	3816.0	2022	https://www.orthodb.org/v10?query=6126at7742	Dopey family member 1
6253at7742	Fragmented	JH567380.1	1009419	1064616	-	476.0	516	https://www.orthodb.org/v10?query=6253at7742	Replication timing regulatory factor 1
6305at7742	Fragmented	JH575339.1	340731	424999	+	2506.7	1434	https://www.orthodb.org/v10?query=6305at7742	Ubiquitin protein ligase E3 component n-recognin 5
6701at7742	Complete	JH574663.1	400105	617211	+	1647.1	1144	https://www.orthodb.org/v10?query=6701at7742	neuroblastoma-amplified sequence
7000at7742	Complete	JH570333.1	54710	111016	-	2461.6	1380	https://www.orthodb.org/v10?query=7000at7742	brefeldin A-inhibited guanine nucleotide-exchange protein 3
7262at7742	Complete	JH568151.1	2461255	2540644	-	1996.6	1624	https://www.orthodb.org/v10?query=7262at7742	von Willebrand factor
7732at7742	Complete	JH575817.1	6367996	6434388	-	1934.7	1387	https://www.orthodb.org/v10?query=7732at7742	Zinc finger FYVE-type containing 26
7768at7742	Complete	JH569570.1	75825	209549	-	2725.5	1536	https://www.orthodb.org/v10?query=7768at7742	calcineurin-binding protein cabin-1 isoform X1
8258at7742	Complete	JH569826.1	282092	302606	+	1147.1	967	https://www.orthodb.org/v10?query=8258at7742	Extra spindle pole bodies like 1, separase
8409at7742	Complete	JH582994.1	754261	763954	-	2420.2	1515	https://www.orthodb.org/v10?query=8409at7742	WD repeat-containing protein 81
8503at7742	Missing
8757at7742	Complete	JH567858.1	1798615	1888717	+	3285.9	1619	https://www.orthodb.org/v10?query=8757at7742	Phosphoinositide kinase, FYVE-type zinc finger containing
8766at7742	Complete	JH568497.1	1012344	1212676	-	2112.9	1554	https://www.orthodb.org/v10?query=8766at7742	rotatin
8874at7742	Complete	JH571788.1	2382884	2452660	-	2728.2	1755	https://www.orthodb.org/v10?query=8874at7742	HEAT repeat-containing protein 1
8995at7742	Complete	JH570025.1	4225342	4309123	-	2294.4	1672	https://www.orthodb.org/v10?query=8995at7742	nucleolar pre-ribosomal-associated protein 1
9110at7742	Complete	JH567559.1	553590	628025	+	1837.7	1092	https://www.orthodb.org/v10?query=9110at7742	anaphase-promoting complex subunit 1
9484at7742	Complete	JH565780.1	634402	724164	-	2554.2	1963	https://www.orthodb.org/v10?query=9484at7742	spectrin beta chain, non-erythrocytic 4
9579at7742	Complete	JH574534.1	1431581	1437359	-	1248.2	1440	https://www.orthodb.org/v10?query=9579at7742	Upstream transcription factor family member 3
9683at7742	Complete	JH563368.1	213179	240358	+	3414.9	1831	https://www.orthodb.org/v10?query=9683at7742	protein KIAA0100 homolog isoform X1
9744at7742	Complete	JH570365.1	316892	408424	+	3425.3	1784	https://www.orthodb.org/v10?query=9744at7742	Nucleoporin 205
10003at7742	Complete	JH583867.1	42068	89698	+	2792.0	1649	https://www.orthodb.org/v10?query=10003at7742	integrator complex subunit 1
10136at7742	Fragmented	JH578243.1	314178	316664	+	713.9	475	https://www.orthodb.org/v10?query=10136at7742	zinc finger protein 407
10163at7742	Missing
10485at7742	Complete	JH566029.1	477217	541353	+	1505.7	1413	https://www.orthodb.org/v10?query=10485at7742	protein PRRC2C isoform X1
10757at7742	Complete	JH575811.1	226255	255152	-	1664.6	1074	https://www.orthodb.org/v10?query=10757at7742	plexin-D1
10899at7742	Complete	JH563943.1	53299	90342	+	1730.5	1080	https://www.orthodb.org/v10?query=10899at7742	Integrin beta
11104at7742	Complete	JH571424.1	148605	197998	+	2950.9	1454	https://www.orthodb.org/v10?query=11104at7742	NACHT and WD repeat domain-containing protein 2
11195at7742	Fragmented	JH561870.1	223922	238136	-	384.0	190	https://www.orthodb.org/v10?query=11195at7742	von Willebrand factor A domain-containing protein 8
11237at7742	Missing
11472at7742	Complete	JH569884.1	1	79510	-	1733.5	903	https://www.orthodb.org/v10?query=11472at7742	endoribonuclease Dicer
11505at7742	Complete	JH583907.1	80513	118938	+	2390.5	1334	https://www.orthodb.org/v10?query=11505at7742	tuberin isoform X1
11550at7742	Complete	JH570308.1	1642628	1756171	+	1829.7	1282	https://www.orthodb.org/v10?query=11550at7742	centrosomal protein 192 
11696at7742	Complete	JH564236.1	205363	243737	+	2342.6	1290	https://www.orthodb.org/v10?query=11696at7742	Intraflagellar transport 172
11895at7742	Complete	JH566709.1	333178	423288	-	2936.4	1917	https://www.orthodb.org/v10?query=11895at7742	kinetochore-associated protein 1
12004at7742	Missing
12300at7742	Complete	JH570423.1	6519202	6617824	+	1163.0	1022	https://www.orthodb.org/v10?query=12300at7742	deleted in lung and esophageal cancer protein 1
12491at7742	Complete	JH563458.1	826239	1000585	+	2562.8	1354	https://www.orthodb.org/v10?query=12491at7742	Helicase with zinc finger
12613at7742	Complete	JH567943.1	6504063	6834531	+	3082.2	1495	https://www.orthodb.org/v10?query=12613at7742	sodium leak channel non-selective protein
12616at7742	Complete	JH567835.1	56738	145187	+	2620.0	1527	https://www.orthodb.org/v10?query=12616at7742	nebulin-related-anchoring protein
12659at7742	Complete	JH563455.1	1427296	1564188	+	2365.5	1215	https://www.orthodb.org/v10?query=12659at7742	B-TFIID TATA-box binding protein associated factor 1
13296at7742	Fragmented	JH570026.1	411186	463550	+	869.4	577	https://www.orthodb.org/v10?query=13296at7742	E3 ubiquitin-protein ligase listerin
13480at7742	Complete	JH569916.1	499294	541718	-	1244.4	1085	https://www.orthodb.org/v10?query=13480at7742	Cilia and flagella associated protein 65
13670at7742	Complete	JH568884.1	169328	221408	+	2329.2	1289	https://www.orthodb.org/v10?query=13670at7742	nucleoporin NUP188 homolog
13881at7742	Complete	JH569462.1	877408	943977	+	2291.7	1326	https://www.orthodb.org/v10?query=13881at7742	DNA-directed RNA polymerase I subunit RPA1
